name,type,genre,link
Sigur Rós - Ágætis byrjun [Full Album Stream],album-upload,,https://www.youtube.com/watch?v=Wof1dSX-G2o
Thievery Corporation - It Takes a Thief. [Full Album Stream],album-upload,,https://www.youtube.com/watch?v=ewHRPWaipBQ
Sigur Rós - Takk... (20th Anniversary Edition) [Full Album Stream],album-upload,,https://www.youtube.com/watch?v=_GozH0kZcDs
Supersleuth - and it still beats (full album) timestamps,album-upload,,https://www.youtube.com/watch?v=U95fdavJSNs
Supersleuth - Thirty One Months (full album) timestamps,album-upload,,https://www.youtube.com/watch?v=jGw3wxX75jU
Hades full album with transitions // Timestamp in description 🏵️,album-upload,,https://www.youtube.com/watch?v=oCbiNjJgh-4
Perkele - Fran Flykt Till Kamp (full album) timestamps,album-upload,,https://www.youtube.com/watch?v=S_TUlnAeq1U
Closure - Closure [full album] timestamps,album-upload,,https://www.youtube.com/watch?v=geloCwmiNfk
Riverdales - Phase 3 (Phase Three) full album original mix timestamps,album-upload,,https://www.youtube.com/watch?v=E2S5Lctz1vc
As The Sun Sets – Untitled Discography 1999-2002 (full album) remastered timestamps,album-upload,,https://www.youtube.com/watch?v=xVs5hhctAu8
Moevot - Verwüstete Landschaften (full album) timestamps,album-upload,,https://www.youtube.com/watch?v=wielxxZuNg0
The Killing Tree - We Sing Sin (full album) timestamps,album-upload,,https://www.youtube.com/watch?v=7wk_onwhSuk
Will Haven - Will Haven (full album) timestamps,album-upload,,https://www.youtube.com/watch?v=moSjF0ahPHY
Creation is Crucifixion - Automata (full album) timestamps,album-upload,,https://www.youtube.com/watch?v=zEl34IeXnJw
Genesis - Seconds Out  / 1977 / full album / timestamps,album-upload,,https://www.youtube.com/watch?v=vRhZgTyVzN8
EPICA - The Score: An Epic Journey (Full Album with Timestamps and in HQ),album-upload,,https://www.youtube.com/watch?v=g6j047GSll8
Linkin Park - Meteora 20th Anniversary Edition [Full Album],album-upload,,https://www.youtube.com/watch?v=VjCgmwol4-A
Blue Skies Burning - In Totality (full album) timestamps,album-upload,,https://www.youtube.com/watch?v=FEOvAtWkZeE
Relaxing soul music - The best soul music compilation - Soul On,album-upload,,https://www.youtube.com/watch?v=QbYu0GQSD7s
Donny Hathaway - Donny Hathaway (Full Album),album-upload,,https://www.youtube.com/watch?v=IK7eDBsPKVI
60’s Soul Classic (1966) [Unreleased Album] Etta James & Aretha Franklin – “Woman of Fire”,album-upload,,https://www.youtube.com/watch?v=M5KYlYrfK1E
Azymuth - Brazilian Soul (Full Album Stream),album-upload,,https://www.youtube.com/watch?v=r9vJdlOL0aM
The The - Soul Mining [CLEAN AUDIO] (1983) Full Album,album-upload,,https://www.youtube.com/watch?v=kF1mBFWzvX4
Shaolin Soul - Episode 1 (Full Album),album-upload,,https://www.youtube.com/watch?v=GL-m2cAex-E
Soul Coughing - El Oso (1998) [Full Album],album-upload,,https://www.youtube.com/watch?v=wfEJFEFycGA
De La Soul - Stakes is High | Full Album [1996],album-upload,,https://www.youtube.com/watch?v=P6fng8uHtBw
The Beatles - Rubber Soul (Full Album),album-upload,,https://www.youtube.com/watch?v=BgtGyos7vec
Kokoroko - Could We Be More (Full Album),album-upload,,https://www.youtube.com/watch?v=__ebFZ4HxEk
Janko Nilovic & The Soul Surfers - Maze of sounds (Full Album),album-upload,,https://www.youtube.com/watch?v=qv_gGhnie3Y
Marcos Valle - Carioca Soul The Best Of Marcos Valle (Full Album Stream),album-upload,,https://www.youtube.com/watch?v=cgauexRWL98
Belleruche - Turntable Soul (Full Album Stream),album-upload,,https://www.youtube.com/watch?v=Rh5uBgG2iRc
GA-20 - Lonely Soul [FULL ALBUM STREAM],album-upload,,https://www.youtube.com/watch?v=J0-I4-RDKSo
ANIME SONGS MIX | FULL SONGS! 🕰️🌟🔥,album-upload,,https://www.youtube.com/watch?v=4N9HmMNf7EU
ANIME SONGS MIX | FULL SONGS! ⏱️👍🔥,album-upload,,https://www.youtube.com/watch?v=oFqaDraJ0Bw
Anime Openings & Endings Mix | Full Songs | Best Anime Music Compilation 🔥,album-upload,,https://www.youtube.com/watch?v=qCYbS9GrnKE
Anime Openings & Endings Mix | Full Songs | Best Anime Music Compilation 🔥,album-upload,,https://www.youtube.com/watch?v=4xQ2go7zv5Q
"✨ 10 HOURS | Relaxing, Lo-fi ""Evangelion TVA"" OST Rebuild Full Album, Anime OST Chill-hop Mix",album-upload,,https://www.youtube.com/watch?v=wIyGV3AR48A
Anime Opening Music Mix | Best Anime OP All Time | Anime Opening Compilation 2023 Full Songs,album-upload,,https://www.youtube.com/watch?v=KjZ9paTttCA
Anime Opening Music Mix | Best Anime OP All Time | Anime Opening Compilation 2024,album-upload,,https://www.youtube.com/watch?v=Bi7WveYKHvU
ANIME SONGS MIX | FULL SONGS! 🎵♥️🔥,album-upload,,https://www.youtube.com/watch?v=vzuyBIw9ySQ
90's Anime Hits Playlists,album-upload,,https://www.youtube.com/watch?v=yg0JcqzKjfM
koleksi playlis musick anime jepang🎵 1 Hour of Sad Anime Music | Emotional & Heartfelt Melodies 🎶,album-upload,,https://www.youtube.com/watch?v=qIjyFMxjcX4
"✨ Relaxing, Lo-fi ""Evangelion TVA"" OST Rebuild Full Album, Anime OST Chill-hop Mix 1hour",album-upload,,https://www.youtube.com/watch?v=5hzKDPAvVoc
Violet Evergarden OST: Automemories ~ Relaxing Anime Music,album-upload,,https://www.youtube.com/watch?v=tFt3uyggrM4
Epic Anime Battle Music | Fighting Anime OST | Part 2,album-upload,,https://www.youtube.com/watch?v=kYHw-Ksvw1w
RETRO ANIME CYBERPUNK 80's 90's / Hall A - The City (FULL ALBUM),album-upload,,https://www.youtube.com/watch?v=uuXO26z2XaQ
Anime Opening Music Mix | Chill Out with Anime Songs | Anime Opening Compilation 2023,album-upload,,https://www.youtube.com/watch?v=zavCTwkGseg
Slaughter To Prevail - Chapters Of Misery (EP) (Full Album + Lyrics + Translate) (HQ),album-upload,,https://www.youtube.com/watch?v=yUmRWZbTQNA
Gregorian - Masters Of Chant IV (Full Album Visualizer),album-upload,,https://www.youtube.com/watch?v=cIKh_FqI73I
Skynd Chapters 1 + 2 Full Albums,album-upload,,https://www.youtube.com/watch?v=gclKJu65Lvg
Industries of the Blind - Chapter 1: Had We Known Better [Full Album],album-upload,,https://www.youtube.com/watch?v=YDdSQ6Mp1Dg
BEAUTIFUL VOCAL TRANCE CHAPTER 7 [FULL ALBUM],album-upload,,https://www.youtube.com/watch?v=GHUelkl61zU
AD INFINITUM - Chapter I: Monarchy (Album Stream) | Napalm Records,album-upload,,https://www.youtube.com/watch?v=zMyJIrDK3dQ
The Glitch Mob - Drink the Sea (10 Year Anniversary Full Album Visual),album-upload,,https://www.youtube.com/watch?v=ezk_dD2Ia-w
Slipknot - .5: The Gray Chapter (Full Album),album-upload,,https://www.youtube.com/watch?v=ZVC5UXTLDmU
Ezra Collective - Chapter 7 [Full Album],album-upload,,https://www.youtube.com/watch?v=PgsZyA8Wxbc
[Full Album] TXT - The Dream Chapter: Eternity | The 2nd Mini Album — TRACKLIST,album-upload,,https://www.youtube.com/watch?v=ws49tPmGEOg
P̲ink F̲lo̲yd   W̲ish You W̲ere H̲e̲re Full Album 1975,album-upload,,https://www.youtube.com/watch?v=_a-zVznqi1M
Carbon Based Lifeforms - Interloper [Full Album - 2015 Remaster],album-upload,,https://www.youtube.com/watch?v=-9pgIVcB3rk
Tycho - Dive (Full Album) (Deluxe Version),album-upload,,https://www.youtube.com/watch?v=BGXOYfZMR0w
AIR - Pocket Symphony (Full Album - Official Audio),album-upload,,https://www.youtube.com/watch?v=7AAB5o3tIcU
Air - Moon Safari [Full Album],album-upload,,https://www.youtube.com/watch?v=1hvPioi1m4w
"""Ebi"" aka Susumu Yokota -  Zen full Album (1994)",album-upload,,https://www.youtube.com/watch?v=td6yY7_zdE8
